medicine_name,type,price,quantity,mfg_date,exp_date
Jasmine,Tea,8.99,100,22/11/2022,22/11/2023
Ketoconazole,Antifungal,14.99,20,16/09/2022,16/09/2023
Labetalol,High Blood Pressure,9.99,20,05/06/2022,05/06/2023
Metoprolol,High Blood Pressure,9.99,30,13/08/2022,13/08/2023
Naproxen,Pain Relief,7.99,30,22/11/2022,22/11/2023
Omeprazole,GERD,12.99,20,16/09/2022,16/09/2023
Pregabalin,Neuropathic Pain,18.99,15,05/06/2022,05/06/2023
Quetiapine,Schizophrenia,19.99,20,13/08/2022,13/08/2023
Ramipril,High Blood Pressure,10.99,20,22/11/2022,22/11/2023
Sildenafil,Impotence,29.99,10,16/09/2022,16/09/2023
Tetracycline,Antibiotic,16.99,10,05/06/2022,05/06/2023
Umeclidinium,COPD,69.99,5,13/08/2022,13/08/2023
Valacyclovir,Herpes,19.99,10,22/11/2022,22/11/2023
Whey Protein,Nutritional Supplement,24.99,20,16/09/2022,16/09/2023
Xylocaine,Local Anesthetic,19.99,10,05/06/2022,05/06/2023
Yohimbine,Impotence,17.99,10,13/08/2022,13/08/2023
Zolpidem,Insomnia,11.99,10,22/11/2022,22/11/2023
Aspirin,Pain Relief,4.99,50,16/09/2022,16/09/2023
Biotin,Nutritional Supplement,7.99,50,05/06/2022,05/06/2023
Carvedilol,High Blood Pressure,9.99,20,13/08/2022,13/08/2023
Doxycycline,Antibiotic,18.99,20,22/11/2022,22/11/2023
Enalapril,High Blood Pressure,8.99,30,16/09/2022,16/09/2023

